Section,Heading,Clause,Heading
1,"Short title, extent and commencement",1,"Short title, extent and commencement"
2,Definitions,2,Definitions
3,Construction of references,3,Construction of references
4,Trial of offences under the Indian Penal Code and other laws,4,Trial of offences under Bhartiya Nyaya Sanhita and other laws
5,Saving,5,Saving
6,Classes of Criminal Courts,6,Classes of Criminal Courts.
7,Territorial divisions,7,Territorial divisions
8,Metropolitan areas,—,—
9,Court of Session,8,Court of Session
10,Subordination of Assistant Sessions Judges,—,—
11,Courts of Judicial Magistrates,9,Courts of Judicial Magistrates
12,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc.",10,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc."
13,Special Judicial Magistrates,11,Special Judicial Magistrates
14,Local jurisdiction of Judicial Magistrates,12,Local jurisdiction of Judicial Magistrates
15,Subordination of Judicial Magistrates,13,Subordination of Judicial Magistrates
16,Courts of Metropolitan Magistrates,—,—
17,Chief Metropolitan Magistrate and Additional Chief Metropolitan Magistrate,—,—
18,Special Metropolitan Magistrates,—,—
19,Subordination of Metropolitan Magistrates,—,—
20,Executive Magistrates,14,Executive Magistrates
21,Special Executive Magistrates,15,Special Executive Magistrates
22,Local jurisdiction of Executive Magistrates,16,Local Jurisdiction of Executive Magistrates
23,Subordination of Executive Magistrates,17,Subordination of Executive Magistrates
24,Public Prosecutors,18,Public Prosecutors
25,Assistant Public Prosecutors,19,Assistant Public Prosecutors
25A,Directorate of Prosecution,20,Directorate of Prosecution
26,Courts by which offences are triable,21,Courts by which offences are triable
27,Jurisdiction in the case of juveniles,—,—
28,Sentences which High Courts and Sessions Judges may pass,22,Sentences which High Courts and Sessions Judges may pass
29,Sentences which Magistrates may pass,23,Sentences which Magistrates may pass
30,Sentence of imprisonment in default of fine,24,Sentence of imprisonment in default of fine
31,Sentence in cases of conviction of several offences at one trial,25,Sentence in cases of conviction of several offences at one trial
32,Mode of conferring powers,26,Mode of conferring powers
33,Powers of officers appointed,27,Powers of officers appointed
34,Withdrawal of powers,28,Withdrawal of powers
35,Powers of Judges and Magistrates exercisable by their successors-in-office,29,Powers of Judges and Magistrates exercisable by their successors-in-office
36,Powers of superior officers of police,30,Powers of superior officers of police
37,Public when to assist Magistrates and police,31,Public when to assist Magistrates and police
38,"Aid to person, other than police officer, executing warrant",32,"Aid to person, other than police officer, executing warrant"
39,Public to give information of certain offences,33,Public to give information of certain offences
40,Duty of officers employed in connection with the affairs of a village to make certain report,34,Duty of officers employed in connection with the affairs of a village to make certain report
41,When police may arrest without warrant,35,When police may arrest without warrant
41A,Notice of appearance before police officer,—,—
41B,Procedure of arrest and duties of officer making arrest,36,Procedure of arrest and duties of officer making arrest
41C,Control room at districts,—,—
41D,Right of arrested person to meet an advocate of his choice during interrogation,38,Right of arrested person to meet an advocate of his choice during interrogation
42,Arrest on refusal to give name and residence,39,Arrest on refusal to give name and residence
43,Arrest by private person and procedure on such arrest,40,Arrest by private person and procedure on such arrest
44,Arrest by Magistrate,41,Arrest by Magistrate
45,Protection of members of the Armed Forces from arrest,42,Protection of members of the Armed Forces from arrest
46,Arrest how made,43,Arrest how made
47,Search of place entered by person sought to be arrested,44,Search of place entered by person sought to be arrested
48,Pursuit of offenders into other jurisdictions,45,Pursuit of offenders into other jurisdictions
49,No unnecessary restraint,46,No unnecessary restraint
50,Person arrested to be informed of grounds of arrest and of right to bail,47,Person arrested to be informed of grounds of arrest and of right to bail
50A,"Obligation of person making arrest to inform about the arrest, etc., to a nominated person",48,"Obligation of person making arrest to inform about the arrest, etc., to relative or friend"
51,Search of arrested person,49,Search of arrested person
52,Power to seize offensive weapons,50,Power to seize offensive weapons
53,Examination of accused by medical practitioner at the request of police officer,51,Examination of accused by medical practitioner at the request of police officer
53A,Examination of person accused of rape by medical practitioner,52,Examination of person accused of rape by medical practitioner
54,Examination of arrested person by medical officer,53,Examination of arrested person by medical officer
54A,Identification of person arrested,54,Identification of person arrested
55,Procedure when police officer deputes subordinate to arrest without warrant,55,Procedure when police officer deputes subordinate to arrest without warrant
55A,Health and safety of arrested person,56,Health and safety of arrested person
56,Person arrested to be taken before Magistrate or officer in charge of police station,57,Person arrested to be taken before Magistrate or officer in charge of police station
57,Person arrested not to be detained more than twenty-four hours,58,Person arrested not to be detained more than twenty-four hours
58,Police to report apprehensions,59,Police to report apprehensions
59,Discharge of person apprehended,60,Discharge of person apprehended
60,"Power, on escape, to pursue and retake",61,"Power, on escape, to pursue and retake"
60A,Arrest to be made strictly according to the Code,62,Arrest to be made strictly according to the Sanhita
61,Form of summons,63,Form of summons
62,Summons how served,64,Summons how served
63,Service of summons on corporate bodies and societies,65,"Service of summons on corporate bodies, firms, and societies"
64,Service when persons summoned cannot be found,66,Service when persons summoned cannot be found
65,Procedure when service cannot be effected as before provided,67,Procedure when service cannot be effected as before provided
66,Service on Government servant,68,Service on Government servant
67,Service of summons outside local limits,69,Service of summons outside local limits
68,Proof of service in such cases and when serving officer not present,70,Proof of service in such cases and when serving officer not present
69,Service of summons on witness by post,71,Service of summons on witness by post
70,Form of warrant of arrest and duration,72,Form of warrant of arrest and duration
71,Power to direct security to be taken,73,Power to direct security to be taken
